"Date","Price","Open","High","Low","Change %"
"Sep 16, 2012","3.1855","3.0897","3.2298","3.0837","2.97%"
"Sep 09, 2012","3.0935","3.1920","3.2292","3.0840","-3.23%"
"Sep 02, 2012","3.1966","3.3088","3.3715","3.1914","-3.57%"
"Aug 26, 2012","3.3150","3.2601","3.3650","3.2469","1.36%"
"Aug 19, 2012","3.2706","3.2937","3.3107","3.2266","-0.82%"
"Aug 12, 2012","3.2978","3.3119","3.3352","3.2700","-0.49%"
"Aug 05, 2012","3.3140","3.2800","3.3405","3.2420","0.93%"
"Jul 29, 2012","3.2834","3.3331","3.3993","3.2730","-2.08%"
"Jul 22, 2012","3.3533","3.4350","3.5024","3.3218","-2.10%"
"Jul 15, 2012","3.4252","3.4140","3.4443","3.3695","0.27%"
"Jul 08, 2012","3.4160","3.4550","3.4651","3.3835","-1.14%"
"Jul 01, 2012","3.4553","3.3258","3.4693","3.3138","3.16%"
"Jun 24, 2012","3.3493","3.3960","3.4622","3.3202","-1.45%"
"Jun 17, 2012","3.3987","3.3334","3.4304","3.3185","1.12%"
"Jun 10, 2012","3.3611","3.3754","3.4945","3.3480","-2.05%"
"Jun 03, 2012","3.4316","3.5395","3.5694","3.3518","-3.19%"
"May 27, 2012","3.5448","3.4622","3.6016","3.4291","1.63%"
"May 20, 2012","3.4878","3.3883","3.5012","3.3552","2.47%"
"May 13, 2012","3.4036","3.3068","3.4688","3.2819","3.27%"
"May 06, 2012","3.2959","3.2185","3.2982","3.1934","2.83%"
"Apr 29, 2012","3.2052","3.1446","3.2118","3.1302","1.90%"
"Apr 22, 2012","3.1453","3.1726","3.2170","3.1398","-0.79%"
"Apr 15, 2012","3.1703","3.2003","3.2346","3.1579","-0.88%"
"Apr 08, 2012","3.1983","3.1732","3.2215","3.1493","0.68%"
"Apr 01, 2012","3.1766","3.0982","3.2005","3.0815","2.07%"
"Mar 25, 2012","3.1122","3.1235","3.1450","3.0801","-0.55%"
"Mar 18, 2012","3.1294","3.1245","3.1755","3.0922","0.09%"
"Mar 11, 2012","3.1265","3.1170","3.1991","3.1083","0.24%"
"Mar 04, 2012","3.1190","3.1070","3.1879","3.0786","0.31%"
"Feb 26, 2012","3.1094","3.0900","3.1304","3.0469","0.47%"
"Feb 19, 2012","3.0949","3.1587","3.1800","3.0785","-2.71%"
"Feb 12, 2012","3.1812","3.1871","3.2676","3.1435","-0.79%"
"Feb 05, 2012","3.2064","3.1669","3.2177","3.1197","0.95%"
"Jan 29, 2012","3.1761","3.1918","3.2610","3.1546","-0.56%"
"Jan 22, 2012","3.1940","3.3455","3.3520","3.1845","-4.19%"
"Jan 15, 2012","3.3337","3.4851","3.4980","3.3100","-4.17%"
"Jan 08, 2012","3.4787","3.5317","3.5510","3.4098","-1.76%"
"Jan 01, 2012","3.5409","3.4445","3.5409","3.4055","2.61%"
"Dec 25, 2011","3.4510","3.3911","3.4645","3.3482","1.45%"
"Dec 18, 2011","3.4017","3.4423","3.4710","3.3578","-1.40%"
"Dec 11, 2011","3.4499","3.3678","3.5309","3.3663","2.33%"
"Dec 04, 2011","3.3712","3.3335","3.4119","3.2885","0.59%"
"Nov 27, 2011","3.3514","3.3993","3.4335","3.2921","-2.43%"
"Nov 20, 2011","3.4348","3.2710","3.4414","3.2590","4.87%"
"Nov 13, 2011","3.2752","3.1685","3.3146","3.1658","2.81%"
